Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n0009sm-il-50000-n5
Airfoil,n0009sm-il
Reynolds number,50000
Ncrit,5
Mach,0
Max Cl/Cd,25.5918
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-n0009sm-il-50000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.000,-0.7052,0.09236,0.08512,-0.0179,1.0000,0.0549
-10.750,-0.7211,0.08514,0.07791,-0.0227,1.0000,0.0547
-10.500,-0.7400,0.07872,0.07148,-0.0268,1.0000,0.0545
-10.250,-0.7592,0.07349,0.06619,-0.0289,1.0000,0.0542
-10.000,-0.7814,0.06901,0.06161,-0.0289,1.0000,0.0541
-9.750,-0.8024,0.06479,0.05718,-0.0278,1.0000,0.0543
-9.500,-0.8195,0.06046,0.05250,-0.0263,1.0000,0.0549
-9.250,-0.8115,0.05818,0.05031,-0.0252,1.0000,0.0578
-9.000,-0.8100,0.05532,0.04727,-0.0237,1.0000,0.0603
-8.750,-0.8118,0.05155,0.04313,-0.0219,1.0000,0.0620
-8.500,-0.8104,0.04777,0.03887,-0.0199,1.0000,0.0638
-8.250,-0.8068,0.04435,0.03477,-0.0176,1.0000,0.0671
-8.000,-0.7934,0.04213,0.03248,-0.0163,1.0000,0.0715
-7.750,-0.7791,0.03970,0.02974,-0.0147,1.0000,0.0754
-7.500,-0.7631,0.03704,0.02656,-0.0131,1.0000,0.0788
-7.250,-0.7453,0.03501,0.02430,-0.0118,1.0000,0.0839
-7.000,-0.7263,0.03341,0.02249,-0.0105,1.0000,0.0905
-6.750,-0.7045,0.03149,0.02019,-0.0093,1.0000,0.0954
-6.500,-0.6826,0.02993,0.01859,-0.0083,1.0000,0.1006
-6.250,-0.6608,0.02858,0.01703,-0.0072,1.0000,0.1092
-6.000,-0.6398,0.02740,0.01579,-0.0060,1.0000,0.1191
-5.750,-0.6182,0.02614,0.01452,-0.0048,1.0000,0.1280
-5.500,-0.5969,0.02499,0.01331,-0.0035,1.0000,0.1394
-5.250,-0.5768,0.02395,0.01226,-0.0022,1.0000,0.1585
-5.000,-0.5569,0.02284,0.01127,-0.0010,1.0000,0.1842
-4.750,-0.5376,0.02172,0.01035,0.0004,1.0000,0.2218
-4.500,-0.5199,0.02064,0.00963,0.0019,1.0000,0.2844
-4.250,-0.5026,0.01974,0.00907,0.0037,1.0000,0.3595
-4.000,-0.4866,0.01901,0.00868,0.0061,1.0000,0.4351
-3.750,-0.4702,0.01842,0.00836,0.0086,1.0000,0.5100
-3.500,-0.4531,0.01795,0.00818,0.0114,1.0000,0.5859
-3.250,-0.4338,0.01761,0.00811,0.0141,1.0000,0.6598
-3.000,-0.4102,0.01743,0.00809,0.0163,1.0000,0.7274
-2.750,-0.3798,0.01740,0.00807,0.0171,1.0000,0.7852
-2.500,-0.3402,0.01751,0.00809,0.0161,1.0000,0.8338
-2.250,-0.2955,0.01765,0.00807,0.0137,1.0000,0.8745
-2.000,-0.2469,0.01779,0.00798,0.0102,1.0000,0.9084
-1.750,-0.1932,0.01786,0.00785,0.0053,1.0000,0.9359
-1.500,-0.1400,0.01780,0.00762,0.0001,1.0000,0.9605
-1.250,-0.0872,0.01764,0.00730,-0.0053,1.0000,0.9832
-1.000,-0.0393,0.01739,0.00695,-0.0102,1.0000,1.0000
-0.750,-0.0297,0.01719,0.00674,-0.0077,1.0000,1.0000
-0.500,-0.0199,0.01705,0.00658,-0.0052,1.0000,1.0000
-0.250,-0.0100,0.01696,0.00649,-0.0026,1.0000,1.0000
0.000,0.0000,0.01694,0.00646,0.0000,1.0000,1.0000
0.250,0.0100,0.01696,0.00649,0.0026,1.0000,1.0000
0.500,0.0199,0.01704,0.00658,0.0052,1.0000,1.0000
0.750,0.0297,0.01718,0.00674,0.0077,1.0000,1.0000
1.000,0.0393,0.01739,0.00695,0.0102,1.0000,1.0000
1.250,0.0871,0.01763,0.00730,0.0054,0.9832,1.0000
1.500,0.1399,0.01779,0.00762,-0.0001,0.9606,1.0000
1.750,0.1931,0.01785,0.00785,-0.0053,0.9360,1.0000
2.000,0.2470,0.01778,0.00798,-0.0102,0.9084,1.0000
2.250,0.2955,0.01765,0.00806,-0.0137,0.8745,1.0000
2.500,0.3402,0.01750,0.00808,-0.0161,0.8337,1.0000
2.750,0.3797,0.01740,0.00807,-0.0171,0.7852,1.0000
3.000,0.4102,0.01743,0.00809,-0.0163,0.7276,1.0000
3.250,0.4337,0.01760,0.00811,-0.0141,0.6598,1.0000
3.500,0.4530,0.01795,0.00818,-0.0114,0.5858,1.0000
3.750,0.4701,0.01842,0.00836,-0.0086,0.5103,1.0000
4.000,0.4865,0.01901,0.00868,-0.0060,0.4349,1.0000
4.250,0.5025,0.01973,0.00907,-0.0037,0.3598,1.0000
4.500,0.5198,0.02064,0.00963,-0.0019,0.2843,1.0000
4.750,0.5375,0.02172,0.01035,-0.0003,0.2216,1.0000
5.000,0.5569,0.02284,0.01127,0.0010,0.1839,1.0000
5.250,0.5767,0.02394,0.01225,0.0023,0.1585,1.0000
5.500,0.5969,0.02500,0.01332,0.0035,0.1394,1.0000
5.750,0.6181,0.02615,0.01452,0.0048,0.1280,1.0000
6.000,0.6397,0.02740,0.01579,0.0060,0.1190,1.0000
6.250,0.6608,0.02859,0.01704,0.0072,0.1092,1.0000
6.500,0.6825,0.02993,0.01858,0.0083,0.1006,1.0000
6.750,0.7045,0.03149,0.02018,0.0093,0.0954,1.0000
7.000,0.7264,0.03341,0.02249,0.0105,0.0905,1.0000
7.250,0.7453,0.03500,0.02429,0.0118,0.0838,1.0000
7.500,0.7631,0.03703,0.02655,0.0131,0.0788,1.0000
7.750,0.7792,0.03971,0.02974,0.0147,0.0754,1.0000
8.000,0.7935,0.04213,0.03247,0.0163,0.0714,1.0000
8.250,0.8071,0.04436,0.03476,0.0176,0.0672,1.0000
8.500,0.8104,0.04779,0.03889,0.0199,0.0638,1.0000
8.750,0.8118,0.05159,0.04317,0.0219,0.0620,1.0000
9.000,0.8103,0.05529,0.04724,0.0237,0.0602,1.0000
9.250,0.8110,0.05830,0.05045,0.0252,0.0579,1.0000
9.500,0.8195,0.06051,0.05255,0.0262,0.0548,1.0000
9.750,0.8020,0.06486,0.05726,0.0277,0.0543,1.0000
10.000,0.7821,0.06904,0.06163,0.0288,0.0541,1.0000
10.250,0.7602,0.07349,0.06618,0.0288,0.0542,1.0000
10.500,0.7394,0.07888,0.07164,0.0265,0.0544,1.0000
10.750,0.7210,0.08528,0.07805,0.0225,0.0547,1.0000
11.000,0.7050,0.09259,0.08535,0.0175,0.0549,1.0000
