Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n0009sm-il-500000-n5
Airfoil,n0009sm-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,60.2296
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-n0009sm-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.250,-0.9442,0.10031,0.09756,-0.0049,1.0000,0.0043
-15.000,-1.0016,0.08451,0.08164,-0.0131,1.0000,0.0040
-14.750,-1.0614,0.06779,0.06469,-0.0232,1.0000,0.0038
-14.500,-1.0959,0.05647,0.05314,-0.0314,1.0000,0.0036
-14.250,-1.1134,0.04947,0.04595,-0.0365,1.0000,0.0037
-14.000,-1.1313,0.04362,0.03989,-0.0400,1.0000,0.0036
-13.750,-1.1399,0.03993,0.03603,-0.0412,1.0000,0.0037
-13.500,-1.1486,0.03684,0.03276,-0.0409,1.0000,0.0038
-13.250,-1.1526,0.03457,0.03034,-0.0397,1.0000,0.0039
-13.000,-1.1568,0.03256,0.02817,-0.0376,1.0000,0.0039
-12.750,-1.1591,0.03086,0.02631,-0.0348,1.0000,0.0040
-12.500,-1.1592,0.02946,0.02477,-0.0316,1.0000,0.0041
-12.250,-1.1571,0.02819,0.02335,-0.0284,1.0000,0.0042
-12.000,-1.1498,0.02692,0.02190,-0.0260,1.0000,0.0044
-11.750,-1.1401,0.02576,0.02058,-0.0237,1.0000,0.0046
-11.500,-1.1276,0.02476,0.01944,-0.0218,1.0000,0.0047
-11.250,-1.1173,0.02350,0.01803,-0.0195,1.0000,0.0050
-11.000,-1.1044,0.02241,0.01682,-0.0175,1.0000,0.0054
-10.750,-1.0891,0.02151,0.01583,-0.0158,1.0000,0.0058
-10.500,-1.0724,0.02073,0.01495,-0.0142,1.0000,0.0063
-10.250,-1.0554,0.01995,0.01405,-0.0126,1.0000,0.0069
-10.000,-1.0372,0.01928,0.01328,-0.0111,1.0000,0.0074
-9.750,-1.0207,0.01839,0.01229,-0.0094,1.0000,0.0085
-9.500,-1.0021,0.01773,0.01157,-0.0079,1.0000,0.0094
-9.250,-0.9828,0.01714,0.01089,-0.0065,1.0000,0.0104
-9.000,-0.9637,0.01653,0.01021,-0.0050,1.0000,0.0117
-8.750,-0.9440,0.01597,0.00963,-0.0036,1.0000,0.0136
-8.500,-0.9236,0.01552,0.00912,-0.0024,1.0000,0.0155
-8.250,-0.9031,0.01506,0.00865,-0.0011,1.0000,0.0181
-8.000,-0.8820,0.01468,0.00826,0.0001,1.0000,0.0207
-7.750,-0.8603,0.01437,0.00787,0.0012,1.0000,0.0227
-7.500,-0.8397,0.01394,0.00741,0.0026,1.0000,0.0251
-7.250,-0.8185,0.01359,0.00705,0.0038,1.0000,0.0276
-7.000,-0.7969,0.01328,0.00671,0.0050,1.0000,0.0297
-6.750,-0.7752,0.01300,0.00636,0.0062,1.0000,0.0313
-6.500,-0.7539,0.01266,0.00599,0.0074,1.0000,0.0334
-6.250,-0.7328,0.01232,0.00564,0.0087,1.0000,0.0370
-6.000,-0.7112,0.01205,0.00535,0.0099,1.0000,0.0397
-5.750,-0.6894,0.01181,0.00507,0.0111,1.0000,0.0419
-5.500,-0.6678,0.01155,0.00476,0.0123,1.0000,0.0437
-5.250,-0.6406,0.01121,0.00442,0.0123,0.9990,0.0477
-5.000,-0.6074,0.01094,0.00415,0.0111,0.9966,0.0518
-4.750,-0.5739,0.01072,0.00388,0.0097,0.9941,0.0560
-4.500,-0.5424,0.01041,0.00361,0.0088,0.9912,0.0635
-4.250,-0.5102,0.01017,0.00337,0.0078,0.9877,0.0705
-4.000,-0.4769,0.00991,0.00315,0.0065,0.9844,0.0813
-3.750,-0.4427,0.00959,0.00291,0.0050,0.9816,0.1002
-3.500,-0.4143,0.00923,0.00269,0.0047,0.9760,0.1301
-3.250,-0.3824,0.00887,0.00249,0.0037,0.9714,0.1671
-3.000,-0.3490,0.00854,0.00229,0.0023,0.9677,0.2058
-2.750,-0.3210,0.00821,0.00212,0.0023,0.9601,0.2456
-2.500,-0.2871,0.00784,0.00196,0.0008,0.9551,0.2988
-2.250,-0.2567,0.00755,0.00183,0.0002,0.9464,0.3424
-2.000,-0.2224,0.00725,0.00170,-0.0013,0.9383,0.3886
-1.750,-0.1893,0.00696,0.00158,-0.0024,0.9275,0.4374
-1.500,-0.1576,0.00663,0.00148,-0.0033,0.9137,0.5013
-1.250,-0.1280,0.00630,0.00138,-0.0036,0.8958,0.5708
-1.000,-0.0987,0.00613,0.00130,-0.0038,0.8721,0.6098
-0.750,-0.0719,0.00603,0.00124,-0.0033,0.8442,0.6453
-0.500,-0.0470,0.00596,0.00120,-0.0024,0.8151,0.6804
-0.250,-0.0232,0.00593,0.00117,-0.0013,0.7828,0.7147
0.000,0.0000,0.00591,0.00116,0.0000,0.7484,0.7486
0.250,0.0232,0.00593,0.00117,0.0013,0.7150,0.7831
0.500,0.0470,0.00596,0.00120,0.0024,0.6806,0.8149
0.750,0.0718,0.00603,0.00124,0.0033,0.6445,0.8444
1.000,0.0987,0.00613,0.00130,0.0038,0.6096,0.8721
1.250,0.1280,0.00630,0.00138,0.0036,0.5711,0.8957
1.500,0.1576,0.00663,0.00148,0.0033,0.5012,0.9137
1.750,0.1893,0.00696,0.00158,0.0025,0.4375,0.9275
2.000,0.2226,0.00724,0.00169,0.0012,0.3903,0.9385
2.250,0.2567,0.00755,0.00183,-0.0002,0.3424,0.9465
2.500,0.2872,0.00784,0.00196,-0.0008,0.2988,0.9551
2.750,0.3210,0.00822,0.00212,-0.0023,0.2452,0.9601
3.000,0.3489,0.00854,0.00229,-0.0023,0.2056,0.9677
3.250,0.3824,0.00887,0.00249,-0.0037,0.1669,0.9715
3.500,0.4143,0.00924,0.00269,-0.0047,0.1292,0.9761
3.750,0.4428,0.00960,0.00291,-0.0050,0.0996,0.9817
4.000,0.4771,0.00991,0.00315,-0.0065,0.0811,0.9845
4.250,0.5103,0.01017,0.00337,-0.0078,0.0704,0.9878
4.500,0.5424,0.01041,0.00361,-0.0088,0.0634,0.9912
4.750,0.5740,0.01072,0.00388,-0.0097,0.0559,0.9942
5.000,0.6076,0.01094,0.00414,-0.0111,0.0517,0.9967
5.250,0.6407,0.01121,0.00442,-0.0124,0.0477,0.9990
5.500,0.6676,0.01155,0.00476,-0.0123,0.0438,1.0000
5.750,0.6892,0.01181,0.00507,-0.0111,0.0419,1.0000
6.000,0.7110,0.01205,0.00535,-0.0099,0.0396,1.0000
6.250,0.7327,0.01232,0.00564,-0.0087,0.0370,1.0000
6.500,0.7538,0.01266,0.00599,-0.0074,0.0335,1.0000
6.750,0.7750,0.01300,0.00637,-0.0061,0.0314,1.0000
7.000,0.7967,0.01328,0.00670,-0.0049,0.0297,1.0000
7.250,0.8183,0.01359,0.00706,-0.0037,0.0276,1.0000
7.500,0.8396,0.01394,0.00741,-0.0025,0.0251,1.0000
7.750,0.8603,0.01437,0.00786,-0.0012,0.0227,1.0000
8.000,0.8819,0.01468,0.00826,-0.0001,0.0207,1.0000
8.250,0.9031,0.01505,0.00864,0.0011,0.0180,1.0000
8.500,0.9235,0.01552,0.00912,0.0024,0.0155,1.0000
8.750,0.9440,0.01597,0.00963,0.0036,0.0135,1.0000
9.000,0.9636,0.01654,0.01021,0.0050,0.0116,1.0000
9.250,0.9829,0.01713,0.01088,0.0065,0.0104,1.0000
9.500,1.0022,0.01773,0.01157,0.0079,0.0094,1.0000
9.750,1.0207,0.01840,0.01230,0.0094,0.0084,1.0000
10.000,1.0374,0.01927,0.01328,0.0111,0.0074,1.0000
10.250,1.0551,0.02000,0.01411,0.0126,0.0070,1.0000
10.500,1.0723,0.02075,0.01497,0.0142,0.0064,1.0000
10.750,1.0891,0.02153,0.01586,0.0158,0.0058,1.0000
11.000,1.1045,0.02242,0.01684,0.0175,0.0054,1.0000
11.250,1.1177,0.02349,0.01803,0.0194,0.0050,1.0000
11.500,1.1283,0.02474,0.01942,0.0217,0.0047,1.0000
11.750,1.1399,0.02582,0.02065,0.0237,0.0046,1.0000
12.000,1.1503,0.02693,0.02191,0.0259,0.0044,1.0000
12.250,1.1573,0.02821,0.02337,0.0283,0.0043,1.0000
12.500,1.1594,0.02950,0.02481,0.0316,0.0042,1.0000
12.750,1.1606,0.03082,0.02627,0.0346,0.0040,1.0000
13.000,1.1568,0.03262,0.02823,0.0375,0.0040,1.0000
13.250,1.1537,0.03456,0.03034,0.0395,0.0039,1.0000
13.500,1.1481,0.03698,0.03291,0.0408,0.0039,1.0000
13.750,1.1384,0.04023,0.03634,0.0409,0.0038,1.0000
14.000,1.1273,0.04433,0.04062,0.0394,0.0037,1.0000
14.250,1.1131,0.04976,0.04625,0.0360,0.0038,1.0000
14.500,1.0910,0.05774,0.05444,0.0301,0.0037,1.0000
14.750,1.0571,0.06911,0.06604,0.0220,0.0038,1.0000
15.000,1.0035,0.08454,0.08168,0.0128,0.0040,1.0000
15.250,0.9413,0.10131,0.09857,0.0040,0.0043,1.0000
