Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0012h-sa-100000-n5
Airfoil,naca0012h-sa
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,33.5342
Max Cl/Cd alpha,7.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0012h-sa-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.750,-1.0473,0.06564,0.05889,-0.0331,1.0000,0.0703
-13.500,-1.0644,0.06051,0.05361,-0.0356,1.0000,0.0709
-13.250,-1.0768,0.05651,0.04944,-0.0368,1.0000,0.0717
-13.000,-1.0876,0.05308,0.04585,-0.0370,1.0000,0.0726
-12.750,-1.0971,0.05007,0.04265,-0.0364,1.0000,0.0736
-12.500,-1.1057,0.04736,0.03972,-0.0349,1.0000,0.0748
-12.250,-1.1132,0.04488,0.03697,-0.0326,1.0000,0.0762
-12.000,-1.1178,0.04247,0.03421,-0.0301,1.0000,0.0777
-11.750,-1.1102,0.04074,0.03232,-0.0285,1.0000,0.0792
-11.500,-1.0962,0.03968,0.03128,-0.0273,1.0000,0.0807
-11.250,-1.0834,0.03851,0.03004,-0.0259,1.0000,0.0826
-11.000,-1.0715,0.03712,0.02847,-0.0244,1.0000,0.0848
-10.750,-1.0595,0.03554,0.02659,-0.0229,1.0000,0.0873
-10.500,-1.0445,0.03416,0.02506,-0.0216,1.0000,0.0895
-10.250,-1.0264,0.03329,0.02421,-0.0205,1.0000,0.0916
-10.000,-1.0087,0.03235,0.02320,-0.0193,1.0000,0.0943
-9.750,-0.9911,0.03125,0.02190,-0.0181,1.0000,0.0974
-9.500,-0.9728,0.03010,0.02054,-0.0170,1.0000,0.1004
-9.250,-0.9530,0.02932,0.01981,-0.0160,1.0000,0.1030
-9.000,-0.9331,0.02855,0.01899,-0.0149,1.0000,0.1063
-8.750,-0.9130,0.02767,0.01793,-0.0138,1.0000,0.1102
-8.500,-0.8925,0.02681,0.01700,-0.0128,1.0000,0.1136
-8.250,-0.8718,0.02616,0.01638,-0.0117,1.0000,0.1171
-8.000,-0.8507,0.02547,0.01560,-0.0107,1.0000,0.1215
-7.750,-0.8293,0.02473,0.01471,-0.0096,1.0000,0.1259
-7.500,-0.8084,0.02412,0.01417,-0.0085,1.0000,0.1298
-7.250,-0.7870,0.02354,0.01355,-0.0074,1.0000,0.1347
-7.000,-0.7652,0.02292,0.01282,-0.0064,1.0000,0.1399
-6.750,-0.7442,0.02238,0.01235,-0.0052,1.0000,0.1444
-6.500,-0.7226,0.02188,0.01181,-0.0041,1.0000,0.1502
-6.250,-0.7011,0.02135,0.01124,-0.0029,1.0000,0.1558
-6.000,-0.6799,0.02089,0.01083,-0.0017,1.0000,0.1615
-5.750,-0.6579,0.02046,0.01033,-0.0006,1.0000,0.1685
-5.500,-0.6368,0.02000,0.00995,0.0006,1.0000,0.1744
-5.250,-0.6151,0.01961,0.00956,0.0018,1.0000,0.1818
-5.000,-0.5937,0.01921,0.00920,0.0030,1.0000,0.1889
-4.750,-0.5722,0.01886,0.00887,0.0041,1.0000,0.1969
-4.500,-0.5508,0.01850,0.00855,0.0053,1.0000,0.2048
-4.250,-0.5294,0.01819,0.00828,0.0065,1.0000,0.2136
-4.000,-0.5080,0.01788,0.00802,0.0077,1.0000,0.2224
-3.750,-0.4865,0.01761,0.00777,0.0088,1.0000,0.2323
-3.500,-0.4653,0.01733,0.00758,0.0100,1.0000,0.2421
-3.250,-0.4436,0.01711,0.00739,0.0110,1.0000,0.2533
-3.000,-0.4223,0.01686,0.00723,0.0121,1.0000,0.2646
-2.750,-0.4009,0.01663,0.00708,0.0131,1.0000,0.2770
-2.500,-0.3598,0.01635,0.00691,0.0103,0.9924,0.2950
-2.250,-0.3179,0.01600,0.00670,0.0073,0.9827,0.3162
-2.000,-0.2771,0.01558,0.00651,0.0046,0.9716,0.3425
-1.750,-0.2378,0.01510,0.00636,0.0023,0.9598,0.3876
-1.500,-0.2006,0.01454,0.00627,0.0005,0.9478,0.4657
-1.250,-0.1658,0.01405,0.00624,-0.0004,0.9339,0.5601
-1.000,-0.1321,0.01369,0.00623,-0.0007,0.9168,0.6383
-0.750,-0.0993,0.01346,0.00625,-0.0007,0.8973,0.7005
-0.500,-0.0659,0.01331,0.00625,-0.0005,0.8745,0.7500
-0.250,-0.0321,0.01323,0.00625,-0.0004,0.8506,0.7902
0.000,0.0000,0.01321,0.00627,0.0000,0.8227,0.8227
0.250,0.0321,0.01323,0.00625,0.0004,0.7902,0.8506
0.500,0.0659,0.01331,0.00625,0.0005,0.7500,0.8745
0.750,0.0993,0.01346,0.00625,0.0006,0.7005,0.8973
1.000,0.1321,0.01369,0.00623,0.0007,0.6383,0.9168
1.250,0.1657,0.01405,0.00624,0.0004,0.5601,0.9339
1.500,0.2006,0.01454,0.00627,-0.0005,0.4657,0.9478
1.750,0.2378,0.01510,0.00636,-0.0023,0.3876,0.9598
2.000,0.2771,0.01558,0.00651,-0.0046,0.3425,0.9716
2.250,0.3179,0.01600,0.00670,-0.0073,0.3162,0.9827
2.500,0.3598,0.01635,0.00690,-0.0103,0.2950,0.9924
2.750,0.4008,0.01663,0.00708,-0.0131,0.2771,1.0000
3.000,0.4222,0.01686,0.00722,-0.0121,0.2646,1.0000
3.250,0.4435,0.01711,0.00738,-0.0110,0.2533,1.0000
3.500,0.4652,0.01733,0.00758,-0.0099,0.2421,1.0000
3.750,0.4864,0.01761,0.00777,-0.0088,0.2324,1.0000
