Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0012h-sa-1000000-n5
Airfoil,naca0012h-sa
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,81.8901
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0012h-sa-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.500,-1.3535,0.10128,0.09796,-0.0042,1.0000,0.0239
-19.250,-1.4305,0.08537,0.08180,-0.0129,1.0000,0.0236
-19.000,-1.4995,0.07030,0.06644,-0.0212,1.0000,0.0233
-18.750,-1.5426,0.05968,0.05558,-0.0273,1.0000,0.0233
-18.500,-1.5682,0.05232,0.04805,-0.0314,1.0000,0.0234
-18.250,-1.5838,0.04685,0.04243,-0.0341,1.0000,0.0236
-18.000,-1.5930,0.04258,0.03805,-0.0359,1.0000,0.0239
-17.750,-1.5977,0.03915,0.03451,-0.0369,1.0000,0.0242
-17.500,-1.5989,0.03635,0.03161,-0.0373,1.0000,0.0246
-17.250,-1.5974,0.03402,0.02920,-0.0372,1.0000,0.0251
-17.000,-1.5936,0.03206,0.02715,-0.0369,1.0000,0.0255
-16.750,-1.5880,0.03039,0.02539,-0.0362,1.0000,0.0260
-16.500,-1.5808,0.02895,0.02387,-0.0352,1.0000,0.0264
-16.250,-1.5721,0.02771,0.02255,-0.0341,1.0000,0.0267
-16.000,-1.5651,0.02641,0.02119,-0.0327,1.0000,0.0273
-15.750,-1.5564,0.02530,0.02002,-0.0311,1.0000,0.0279
-15.500,-1.5461,0.02434,0.01902,-0.0295,1.0000,0.0287
-15.250,-1.5342,0.02352,0.01815,-0.0279,1.0000,0.0295
-15.000,-1.5212,0.02281,0.01738,-0.0262,1.0000,0.0301
-14.750,-1.5072,0.02217,0.01668,-0.0244,1.0000,0.0307
-14.500,-1.4929,0.02155,0.01600,-0.0226,1.0000,0.0312
-14.250,-1.4771,0.02086,0.01528,-0.0212,1.0000,0.0319
-14.000,-1.4594,0.02024,0.01463,-0.0199,1.0000,0.0328
-13.750,-1.4405,0.01967,0.01402,-0.0188,1.0000,0.0336
-13.500,-1.4205,0.01916,0.01347,-0.0178,1.0000,0.0344
-13.250,-1.3998,0.01868,0.01295,-0.0168,1.0000,0.0351
-13.000,-1.3784,0.01824,0.01246,-0.0159,1.0000,0.0357
-12.750,-1.3577,0.01770,0.01190,-0.0150,1.0000,0.0368
-12.500,-1.3362,0.01722,0.01140,-0.0141,1.0000,0.0379
-12.250,-1.3141,0.01678,0.01094,-0.0133,1.0000,0.0390
-12.000,-1.2913,0.01639,0.01052,-0.0125,1.0000,0.0400
-11.750,-1.2682,0.01603,0.01011,-0.0118,1.0000,0.0408
-11.500,-1.2455,0.01560,0.00967,-0.0110,1.0000,0.0420
-11.250,-1.2226,0.01520,0.00926,-0.0102,1.0000,0.0433
-11.000,-1.1992,0.01484,0.00889,-0.0095,1.0000,0.0447
-10.750,-1.1755,0.01451,0.00854,-0.0087,1.0000,0.0461
-10.500,-1.1518,0.01420,0.00821,-0.0080,1.0000,0.0472
-10.250,-1.1288,0.01384,0.00785,-0.0071,1.0000,0.0488
-10.000,-1.1056,0.01351,0.00752,-0.0063,1.0000,0.0504
-9.750,-1.0823,0.01323,0.00723,-0.0054,1.0000,0.0520
-9.500,-1.0590,0.01298,0.00696,-0.0044,1.0000,0.0533
-9.250,-1.0366,0.01267,0.00666,-0.0034,1.0000,0.0554
-9.000,-1.0139,0.01239,0.00638,-0.0023,1.0000,0.0573
-8.750,-0.9912,0.01214,0.00613,-0.0012,1.0000,0.0591
-8.500,-0.9685,0.01192,0.00590,-0.0002,1.0000,0.0607
-8.250,-0.9453,0.01165,0.00564,0.0008,0.9998,0.0633
-8.000,-0.9137,0.01137,0.00538,0.0000,0.9983,0.0661
-7.750,-0.8815,0.01114,0.00515,-0.0009,0.9965,0.0684
-7.500,-0.8491,0.01088,0.00491,-0.0019,0.9947,0.0714
-7.250,-0.8162,0.01063,0.00468,-0.0030,0.9932,0.0749
-7.000,-0.7842,0.01041,0.00447,-0.0038,0.9903,0.0776
-6.750,-0.7513,0.01018,0.00425,-0.0048,0.9865,0.0810
-6.500,-0.7182,0.00994,0.00405,-0.0059,0.9826,0.0851
-6.250,-0.6874,0.00975,0.00387,-0.0064,0.9780,0.0881
-6.000,-0.6571,0.00954,0.00368,-0.0068,0.9724,0.0921
-5.750,-0.6262,0.00934,0.00351,-0.0073,0.9667,0.0967
-5.500,-0.5969,0.00918,0.00335,-0.0074,0.9567,0.1001
-5.250,-0.5688,0.00898,0.00318,-0.0073,0.9444,0.1054
-5.000,-0.5412,0.00883,0.00303,-0.0070,0.9313,0.1101
-4.750,-0.5142,0.00870,0.00288,-0.0066,0.9161,0.1143
-4.500,-0.4876,0.00856,0.00273,-0.0060,0.8984,0.1199
-4.250,-0.4609,0.00848,0.00260,-0.0055,0.8772,0.1247
-4.000,-0.4347,0.00839,0.00246,-0.0049,0.8513,0.1304
-3.750,-0.4080,0.00834,0.00234,-0.0044,0.8227,0.1361
