Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0018-il-100000-n5
Airfoil,naca0018-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,38.0837
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0018-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.500,-0.7056,0.18357,0.17707,0.0125,1.0000,0.0618
-18.250,-0.7312,0.17080,0.16428,0.0055,1.0000,0.0645
-18.000,-0.9311,0.11971,0.11273,-0.0226,1.0000,0.0715
-17.750,-0.8775,0.12672,0.11994,-0.0180,1.0000,0.0724
-17.500,-0.9340,0.11189,0.10487,-0.0263,1.0000,0.0739
-17.250,-0.9703,0.10170,0.09444,-0.0319,1.0000,0.0750
-17.000,-0.9964,0.09376,0.08627,-0.0360,1.0000,0.0762
-16.750,-1.0179,0.08687,0.07915,-0.0393,1.0000,0.0774
-16.500,-1.0368,0.08065,0.07266,-0.0420,1.0000,0.0787
-16.250,-1.0350,0.07781,0.06981,-0.0428,1.0000,0.0800
-16.000,-1.0347,0.07477,0.06674,-0.0436,1.0000,0.0814
-15.750,-1.0376,0.07129,0.06317,-0.0447,1.0000,0.0829
-15.500,-1.0423,0.06764,0.05938,-0.0457,1.0000,0.0847
-15.250,-1.0483,0.06390,0.05543,-0.0467,1.0000,0.0866
-15.000,-1.0476,0.06116,0.05264,-0.0471,1.0000,0.0883
-14.750,-1.0458,0.05865,0.05012,-0.0474,1.0000,0.0902
-14.500,-1.0455,0.05600,0.04739,-0.0476,1.0000,0.0924
-14.250,-1.0455,0.05332,0.04456,-0.0478,1.0000,0.0949
-14.000,-1.0432,0.05097,0.04213,-0.0477,1.0000,0.0972
-13.750,-1.0400,0.04886,0.04001,-0.0474,1.0000,0.0995
-13.500,-1.0370,0.04675,0.03783,-0.0471,1.0000,0.1023
-13.250,-1.0334,0.04471,0.03564,-0.0466,1.0000,0.1055
-13.000,-1.0290,0.04288,0.03381,-0.0459,1.0000,0.1083
-12.750,-1.0244,0.04115,0.03206,-0.0451,1.0000,0.1114
-12.500,-1.0188,0.03952,0.03032,-0.0442,1.0000,0.1152
-12.250,-1.0130,0.03798,0.02875,-0.0431,1.0000,0.1188
-12.000,-1.0075,0.03656,0.02732,-0.0418,1.0000,0.1225
-11.750,-1.0004,0.03526,0.02592,-0.0404,1.0000,0.1270
-11.500,-0.9938,0.03402,0.02469,-0.0387,1.0000,0.1311
-11.250,-0.9874,0.03289,0.02354,-0.0369,1.0000,0.1357
-10.750,-0.9734,0.03089,0.02149,-0.0327,1.0000,0.1457
-10.500,-0.9663,0.03003,0.02059,-0.0303,1.0000,0.1513
-10.250,-0.9601,0.02923,0.01978,-0.0275,1.0000,0.1567
-10.000,-0.9563,0.02851,0.01908,-0.0242,1.0000,0.1622
-9.500,-0.9495,0.02730,0.01788,-0.0168,1.0000,0.1737
-9.250,-0.9431,0.02674,0.01730,-0.0135,1.0000,0.1807
-9.000,-0.9370,0.02618,0.01677,-0.0101,1.0000,0.1871
-8.750,-0.9302,0.02567,0.01626,-0.0068,1.0000,0.1945
-8.500,-0.9225,0.02517,0.01578,-0.0036,1.0000,0.2020
-8.250,-0.9148,0.02471,0.01533,-0.0004,1.0000,0.2100
-8.000,-0.9059,0.02426,0.01490,0.0027,1.0000,0.2182
-7.750,-0.8967,0.02384,0.01450,0.0057,1.0000,0.2271
-7.500,-0.8867,0.02344,0.01412,0.0085,1.0000,0.2360
-7.250,-0.8758,0.02308,0.01376,0.0112,1.0000,0.2460
-7.000,-0.8647,0.02271,0.01345,0.0138,1.0000,0.2554
-6.750,-0.8322,0.02229,0.01303,0.0123,0.9948,0.2695
-6.500,-0.7975,0.02189,0.01264,0.0104,0.9886,0.2846
-6.250,-0.7628,0.02150,0.01230,0.0085,0.9820,0.2997
-6.000,-0.7292,0.02113,0.01198,0.0069,0.9750,0.3149
-5.750,-0.6943,0.02078,0.01168,0.0052,0.9681,0.3307
-5.500,-0.6612,0.02045,0.01139,0.0038,0.9604,0.3466
-5.250,-0.6261,0.02013,0.01111,0.0021,0.9531,0.3631
-5.000,-0.5924,0.01983,0.01083,0.0008,0.9453,0.3797
-4.750,-0.5579,0.01953,0.01057,-0.0007,0.9374,0.3969
-4.500,-0.5239,0.01923,0.01033,-0.0019,0.9297,0.4135
-4.250,-0.4925,0.01894,0.01011,-0.0026,0.9201,0.4294
-4.000,-0.4597,0.01866,0.00989,-0.0035,0.9116,0.4456
-3.750,-0.4292,0.01840,0.00967,-0.0038,0.9013,0.4616
-3.500,-0.3983,0.01815,0.00945,-0.0042,0.8913,0.4779
-3.000,-0.3390,0.01768,0.00907,-0.0044,0.8692,0.5102
-2.750,-0.3069,0.01743,0.00887,-0.0049,0.8592,0.5264
-2.500,-0.2803,0.01725,0.00874,-0.0043,0.8457,0.5421
-2.250,-0.2501,0.01704,0.00855,-0.0044,0.8343,0.5585
-2.000,-0.2221,0.01686,0.00839,-0.0040,0.8210,0.5752
-1.750,-0.1947,0.01672,0.00830,-0.0035,0.8069,0.5908
-1.500,-0.1654,0.01656,0.00818,-0.0033,0.7939,0.6068
-1.250,-0.1373,0.01643,0.00807,-0.0028,0.7796,0.6228
-1.000,-0.1106,0.01634,0.00800,-0.0022,0.7641,0.6391
-0.750,-0.0833,0.01626,0.00791,-0.0016,0.7492,0.6558
-0.500,-0.0545,0.01619,0.00786,-0.0012,0.7347,0.6714
-0.250,-0.0269,0.01616,0.00785,-0.0006,0.7189,0.6869
0.000,0.0000,0.01616,0.00786,0.0000,0.7027,0.7027
0.250,0.0269,0.01616,0.00785,0.0006,0.6869,0.7189
0.500,0.0545,0.01619,0.00786,0.0012,0.6714,0.7347
0.750,0.0833,0.01626,0.00791,0.0016,0.6558,0.7492
1.000,0.1106,0.01634,0.00800,0.0022,0.6391,0.7641
1.250,0.1373,0.01643,0.00807,0.0028,0.6228,0.7796
1.500,0.1654,0.01656,0.00818,0.0033,0.6068,0.7939
1.750,0.1947,0.01672,0.00830,0.0035,0.5908,0.8069
2.000,0.2221,0.01686,0.00839,0.0040,0.5752,0.8210
2.250,0.2501,0.01704,0.00855,0.0044,0.5585,0.8343
2.500,0.2803,0.01725,0.00874,0.0043,0.5421,0.8457
