Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n2414-il-1000000-n5
Airfoil,n2414-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,90.0409
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-n2414-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.500,-1.1513,0.08637,0.08297,-0.0417,1.0000,0.0159
-18.250,-1.2034,0.07478,0.07120,-0.0481,1.0000,0.0158
-18.000,-1.2484,0.06428,0.06051,-0.0541,1.0000,0.0157
-17.750,-1.2803,0.05571,0.05176,-0.0592,1.0000,0.0157
-17.500,-1.3010,0.04887,0.04476,-0.0636,1.0000,0.0158
-17.250,-1.3131,0.04353,0.03927,-0.0670,1.0000,0.0158
-17.000,-1.3192,0.03930,0.03491,-0.0696,1.0000,0.0159
-16.750,-1.3211,0.03592,0.03142,-0.0714,1.0000,0.0160
-16.500,-1.3213,0.03305,0.02844,-0.0725,1.0000,0.0161
-16.250,-1.3213,0.03053,0.02582,-0.0729,1.0000,0.0163
-16.000,-1.3186,0.02855,0.02375,-0.0726,1.0000,0.0165
-15.750,-1.3135,0.02697,0.02209,-0.0719,1.0000,0.0168
-15.500,-1.3068,0.02568,0.02074,-0.0707,1.0000,0.0170
-15.250,-1.2990,0.02460,0.01960,-0.0692,1.0000,0.0173
-15.000,-1.2907,0.02368,0.01863,-0.0672,1.0000,0.0176
-14.750,-1.2830,0.02291,0.01779,-0.0648,1.0000,0.0178
-14.500,-1.2746,0.02223,0.01706,-0.0622,1.0000,0.0181
-14.250,-1.2633,0.02160,0.01637,-0.0600,1.0000,0.0184
-14.000,-1.2520,0.02102,0.01574,-0.0576,1.0000,0.0186
-13.750,-1.2402,0.02049,0.01515,-0.0552,1.0000,0.0188
-13.500,-1.2287,0.01998,0.01459,-0.0527,1.0000,0.0191
-13.250,-1.2118,0.01934,0.01392,-0.0513,0.9994,0.0195
-13.000,-1.1853,0.01870,0.01325,-0.0518,0.9979,0.0200
-12.750,-1.1579,0.01812,0.01264,-0.0523,0.9962,0.0205
-12.500,-1.1297,0.01758,0.01206,-0.0530,0.9948,0.0211
-12.250,-1.1005,0.01708,0.01151,-0.0538,0.9936,0.0217
-12.000,-1.0732,0.01663,0.01101,-0.0541,0.9916,0.0222
-11.750,-1.0457,0.01611,0.01047,-0.0546,0.9893,0.0229
-11.500,-1.0168,0.01563,0.00998,-0.0552,0.9873,0.0238
-11.250,-0.9871,0.01519,0.00952,-0.0560,0.9855,0.0246
-11.000,-0.9570,0.01479,0.00908,-0.0567,0.9837,0.0254
-10.750,-0.9275,0.01440,0.00865,-0.0574,0.9815,0.0261
-10.500,-0.9016,0.01399,0.00824,-0.0572,0.9769,0.0271
-10.250,-0.8735,0.01362,0.00785,-0.0575,0.9732,0.0281
-10.000,-0.8441,0.01328,0.00749,-0.0580,0.9701,0.0292
-9.750,-0.8182,0.01297,0.00715,-0.0577,0.9650,0.0301
-9.500,-0.7916,0.01262,0.00680,-0.0576,0.9598,0.0316
-9.250,-0.7639,0.01232,0.00647,-0.0577,0.9554,0.0330
-9.000,-0.7381,0.01206,0.00619,-0.0573,0.9488,0.0342
-8.750,-0.7118,0.01175,0.00587,-0.0570,0.9423,0.0358
-8.500,-0.6856,0.01149,0.00559,-0.0567,0.9353,0.0375
-8.250,-0.6592,0.01126,0.00533,-0.0563,0.9266,0.0390
-8.000,-0.6331,0.01099,0.00505,-0.0560,0.9179,0.0412
-7.750,-0.6067,0.01077,0.00480,-0.0556,0.9085,0.0436
-7.500,-0.5800,0.01055,0.00456,-0.0554,0.8994,0.0459
-7.250,-0.5534,0.01034,0.00432,-0.0551,0.8902,0.0486
-7.000,-0.5263,0.01015,0.00411,-0.0549,0.8808,0.0512
-6.750,-0.4996,0.00994,0.00389,-0.0546,0.8712,0.0550
-6.500,-0.4725,0.00977,0.00369,-0.0544,0.8608,0.0585
-6.250,-0.4455,0.00958,0.00349,-0.0542,0.8506,0.0631
-6.000,-0.4183,0.00943,0.00331,-0.0539,0.8394,0.0672
-5.750,-0.3910,0.00926,0.00314,-0.0538,0.8282,0.0725
-5.500,-0.3639,0.00911,0.00297,-0.0536,0.8169,0.0779
-5.250,-0.3365,0.00899,0.00282,-0.0534,0.8045,0.0833
-5.000,-0.3091,0.00884,0.00267,-0.0532,0.7921,0.0905
-4.750,-0.2817,0.00872,0.00253,-0.0530,0.7797,0.0973
-4.500,-0.2544,0.00861,0.00240,-0.0529,0.7664,0.1049
