Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n2414-il-500000-n5
Airfoil,n2414-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,79.406
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-n2414-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.500,-1.0317,0.08950,0.08559,-0.0404,1.0000,0.0206
-17.250,-1.0560,0.08197,0.07794,-0.0445,1.0000,0.0206
-17.000,-1.0803,0.07457,0.07041,-0.0486,1.0000,0.0207
-16.750,-1.1030,0.06746,0.06316,-0.0526,1.0000,0.0208
-16.500,-1.1230,0.06070,0.05626,-0.0566,1.0000,0.0208
-16.250,-1.1389,0.05453,0.04994,-0.0604,1.0000,0.0209
-16.000,-1.1506,0.04906,0.04433,-0.0639,1.0000,0.0211
-15.750,-1.1582,0.04437,0.03950,-0.0669,1.0000,0.0212
-15.500,-1.1625,0.04041,0.03541,-0.0693,1.0000,0.0214
-15.250,-1.1638,0.03714,0.03200,-0.0709,1.0000,0.0217
-15.000,-1.1631,0.03444,0.02918,-0.0718,1.0000,0.0219
-14.750,-1.1605,0.03224,0.02685,-0.0721,1.0000,0.0221
-14.500,-1.1584,0.03028,0.02479,-0.0716,1.0000,0.0224
-14.250,-1.1559,0.02861,0.02305,-0.0705,1.0000,0.0227
-14.000,-1.1517,0.02730,0.02167,-0.0688,1.0000,0.0230
-13.750,-1.1470,0.02625,0.02055,-0.0666,1.0000,0.0233
-13.500,-1.1431,0.02539,0.01964,-0.0636,1.0000,0.0237
-13.250,-1.1367,0.02464,0.01882,-0.0608,1.0000,0.0241
-13.000,-1.1282,0.02394,0.01805,-0.0582,1.0000,0.0246
-12.750,-1.1186,0.02329,0.01733,-0.0556,1.0000,0.0251
-12.500,-1.1084,0.02269,0.01665,-0.0530,1.0000,0.0256
-12.250,-1.0987,0.02205,0.01596,-0.0502,1.0000,0.0261
-12.000,-1.0889,0.02142,0.01529,-0.0475,1.0000,0.0266
