Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2418-il-100000-n5
Airfoil,naca2418-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,44
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2418-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.750,-0.8072,0.08487,0.07772,-0.0653,1.0000,0.0726
-15.500,-0.8514,0.07482,0.06740,-0.0712,1.0000,0.0732
-15.250,-0.8526,0.07164,0.06421,-0.0724,1.0000,0.0740
-15.000,-0.8639,0.06715,0.05963,-0.0745,1.0000,0.0749
-14.750,-0.8768,0.06267,0.05501,-0.0765,1.0000,0.0759
-14.500,-0.8898,0.05842,0.05060,-0.0781,1.0000,0.0770
-14.250,-0.9025,0.05449,0.04649,-0.0791,1.0000,0.0782
-14.000,-0.9150,0.05090,0.04266,-0.0796,1.0000,0.0795
-13.750,-0.9202,0.04828,0.03991,-0.0792,1.0000,0.0808
-13.500,-0.9172,0.04661,0.03826,-0.0784,1.0000,0.0820
-13.250,-0.9175,0.04483,0.03643,-0.0773,1.0000,0.0834
-13.000,-0.9203,0.04304,0.03455,-0.0757,1.0000,0.0849
-12.750,-0.9248,0.04134,0.03271,-0.0735,1.0000,0.0866
-12.500,-0.9316,0.03975,0.03092,-0.0706,1.0000,0.0884
-12.250,-0.9313,0.03876,0.02999,-0.0677,1.0000,0.0897
-12.000,-0.9348,0.03784,0.02908,-0.0641,1.0000,0.0912
-11.750,-0.9413,0.03700,0.02820,-0.0598,1.0000,0.0929
-11.500,-0.9485,0.03619,0.02731,-0.0550,1.0000,0.0946
-11.250,-0.9515,0.03529,0.02625,-0.0509,1.0000,0.0968
-11.000,-0.9506,0.03452,0.02551,-0.0472,1.0000,0.0987
-10.750,-0.9487,0.03384,0.02483,-0.0436,1.0000,0.1007
-10.500,-0.9457,0.03313,0.02408,-0.0402,1.0000,0.1033
-10.250,-0.9413,0.03239,0.02319,-0.0369,1.0000,0.1063
-10.000,-0.9354,0.03171,0.02252,-0.0339,1.0000,0.1087
-9.750,-0.9228,0.03105,0.02186,-0.0321,0.9989,0.1119
-9.500,-0.8926,0.03022,0.02087,-0.0335,0.9942,0.1172
-9.250,-0.8634,0.02945,0.02014,-0.0348,0.9894,0.1216
-9.000,-0.8335,0.02874,0.01935,-0.0361,0.9841,0.1273
-8.750,-0.8009,0.02803,0.01863,-0.0378,0.9798,0.1327
-8.500,-0.7734,0.02740,0.01796,-0.0385,0.9731,0.1386
-8.250,-0.7406,0.02674,0.01728,-0.0401,0.9681,0.1448
-8.000,-0.7114,0.02616,0.01667,-0.0409,0.9614,0.1515
-7.750,-0.6795,0.02555,0.01607,-0.0422,0.9552,0.1585
-7.500,-0.6441,0.02499,0.01546,-0.0442,0.9503,0.1669
-7.250,-0.6180,0.02446,0.01497,-0.0442,0.9417,0.1741
-7.000,-0.5818,0.02394,0.01440,-0.0461,0.9369,0.1842
-6.750,-0.5550,0.02347,0.01400,-0.0463,0.9291,0.1929
-6.500,-0.5232,0.02299,0.01353,-0.0473,0.9227,0.2035
-6.250,-0.4862,0.02252,0.01303,-0.0492,0.9184,0.2163
-6.000,-0.4634,0.02215,0.01272,-0.0484,0.9087,0.2267
