Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca4415-il-500000-n5
Airfoil,naca4415-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,90.3884
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca4415-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.750,-0.7406,0.08436,0.08072,-0.0700,1.0000,0.0148
-15.500,-0.7675,0.07768,0.07397,-0.0729,1.0000,0.0148
-15.250,-0.8007,0.07032,0.06651,-0.0762,1.0000,0.0149
-15.000,-0.8372,0.06289,0.05898,-0.0793,1.0000,0.0148
-14.750,-0.8787,0.05492,0.05088,-0.0826,1.0000,0.0147
-14.500,-0.9121,0.04605,0.04183,-0.0887,0.9993,0.0146
-14.250,-0.9198,0.03781,0.03333,-0.0993,0.9963,0.0147
-14.000,-0.9170,0.03334,0.02867,-0.1053,0.9927,0.0149
-13.750,-0.9113,0.03073,0.02591,-0.1075,0.9882,0.0151
-13.500,-0.8995,0.02885,0.02390,-0.1088,0.9845,0.0152
-13.250,-0.8890,0.02742,0.02234,-0.1085,0.9801,0.0155
-13.000,-0.8771,0.02626,0.02107,-0.1076,0.9748,0.0158
-12.750,-0.8565,0.02512,0.01981,-0.1081,0.9720,0.0161
-12.500,-0.8435,0.02399,0.01860,-0.1068,0.9664,0.0163
-12.250,-0.8244,0.02291,0.01744,-0.1066,0.9621,0.0166
-12.000,-0.8001,0.02196,0.01643,-0.1070,0.9596,0.0171
-11.750,-0.7735,0.02109,0.01548,-0.1078,0.9579,0.0175
-11.500,-0.7591,0.02045,0.01476,-0.1058,0.9508,0.0180
-11.250,-0.7342,0.01970,0.01393,-0.1059,0.9476,0.0185
-11.000,-0.7061,0.01899,0.01313,-0.1066,0.9453,0.0192
-10.750,-0.6796,0.01825,0.01236,-0.1070,0.9422,0.0199
-10.500,-0.6594,0.01769,0.01174,-0.1058,0.9358,0.0206
-10.250,-0.6297,0.01709,0.01106,-0.1066,0.9323,0.0215
-10.000,-0.5955,0.01648,0.01038,-0.1083,0.9299,0.0225
-9.750,-0.5687,0.01592,0.00979,-0.1085,0.9246,0.0235
-9.500,-0.5408,0.01543,0.00924,-0.1088,0.9187,0.0248
-9.250,-0.5074,0.01492,0.00866,-0.1102,0.9146,0.0262
-9.000,-0.4795,0.01446,0.00816,-0.1105,0.9087,0.0278
-8.750,-0.4519,0.01408,0.00772,-0.1106,0.9018,0.0296
-8.500,-0.4195,0.01361,0.00722,-0.1117,0.8964,0.0321
-8.250,-0.3955,0.01328,0.00684,-0.1110,0.8880,0.0344
-8.000,-0.3660,0.01290,0.00642,-0.1115,0.8808,0.0373
-7.750,-0.3409,0.01259,0.00607,-0.1110,0.8725,0.0404
-7.500,-0.3136,0.01228,0.00573,-0.1109,0.8644,0.0445
-7.000,-0.2623,0.01174,0.00514,-0.1100,0.8471,0.0553
-6.750,-0.2375,0.01151,0.00489,-0.1094,0.8383,0.0615
-6.500,-0.2119,0.01130,0.00465,-0.1089,0.8294,0.0682
-6.250,-0.1874,0.01111,0.00445,-0.1081,0.8203,0.0744
-6.000,-0.1619,0.01094,0.00425,-0.1075,0.8109,0.0811
-5.750,-0.1377,0.01079,0.00407,-0.1067,0.8017,0.0874
-5.250,-0.0886,0.01052,0.00373,-0.1051,0.7826,0.0988
-5.000,-0.0641,0.01040,0.00357,-0.1043,0.7731,0.1044
-4.750,-0.0400,0.01029,0.00344,-0.1034,0.7628,0.1102
-4.500,-0.0160,0.01018,0.00330,-0.1025,0.7530,0.1164
-4.250,0.0081,0.01010,0.00317,-0.1016,0.7426,0.1231
-4.000,0.0317,0.00999,0.00306,-0.1006,0.7320,0.1319
-3.500,0.0790,0.00984,0.00286,-0.0986,0.7105,0.1483
-3.250,0.1026,0.00979,0.00276,-0.0975,0.6999,0.1557
-3.000,0.1258,0.00973,0.00268,-0.0964,0.6886,0.1643
-2.750,0.1494,0.00968,0.00260,-0.0954,0.6779,0.1730
-2.500,0.1724,0.00964,0.00254,-0.0943,0.6672,0.1827
-2.250,0.1958,0.00959,0.00248,-0.0932,0.6561,0.1925
-1.750,0.2419,0.00953,0.00239,-0.0909,0.6353,0.2163
-1.500,0.2651,0.00951,0.00236,-0.0899,0.6251,0.2288
-1.000,0.3111,0.00948,0.00232,-0.0876,0.6052,0.2578
-0.750,0.3335,0.00947,0.00231,-0.0864,0.5957,0.2731
-0.500,0.3564,0.00945,0.00231,-0.0852,0.5860,0.2907
-0.250,0.3787,0.00944,0.00231,-0.0840,0.5772,0.3086
0.000,0.4015,0.00942,0.00232,-0.0828,0.5681,0.3288
0.500,0.4453,0.00935,0.00236,-0.0802,0.5511,0.3829
0.750,0.4657,0.00931,0.00239,-0.0786,0.5430,0.4225
1.000,0.4863,0.00919,0.00243,-0.0771,0.5351,0.4764
1.250,0.5045,0.00909,0.00249,-0.0750,0.5275,0.5430
1.500,0.5222,0.00895,0.00256,-0.0728,0.5201,0.6138
1.750,0.5388,0.00886,0.00263,-0.0703,0.5124,0.6720
2.000,0.5552,0.00876,0.00270,-0.0677,0.5054,0.7335
2.250,0.5731,0.00863,0.00280,-0.0654,0.4977,0.8084
2.500,0.6911,0.00889,0.00327,-0.0852,0.4844,0.9283
2.750,0.7566,0.00920,0.00351,-0.0934,0.4739,0.9585
3.000,0.7904,0.00938,0.00368,-0.0947,0.4659,0.9784
3.250,0.8212,0.00960,0.00383,-0.0954,0.4574,0.9903
3.500,0.8570,0.00977,0.00398,-0.0972,0.4493,0.9971
3.750,0.8899,0.00999,0.00412,-0.0984,0.4384,1.0000
4.000,0.9066,0.01013,0.00422,-0.0961,0.4270,1.0000
4.250,0.9225,0.01030,0.00433,-0.0937,0.4168,1.0000
4.500,0.9378,0.01044,0.00444,-0.0911,0.4086,1.0000
4.750,0.9530,0.01058,0.00456,-0.0884,0.4018,1.0000
5.000,0.9688,0.01073,0.00468,-0.0859,0.3934,1.0000
5.250,0.9840,0.01090,0.00482,-0.0834,0.3851,1.0000
5.500,1.0006,0.01107,0.00497,-0.0811,0.3768,1.0000
5.750,1.0166,0.01127,0.00514,-0.0787,0.3689,1.0000
6.000,1.0334,0.01147,0.00531,-0.0765,0.3592,1.0000
6.250,1.0500,0.01170,0.00551,-0.0744,0.3503,1.0000
6.500,1.0667,0.01195,0.00573,-0.0722,0.3409,1.0000
6.750,1.0841,0.01219,0.00595,-0.0703,0.3324,1.0000
7.000,1.1001,0.01249,0.00621,-0.0681,0.3222,1.0000
7.250,1.1174,0.01277,0.00647,-0.0662,0.3118,1.0000
7.500,1.1332,0.01311,0.00677,-0.0641,0.3005,1.0000
7.750,1.1487,0.01348,0.00710,-0.0620,0.2895,1.0000
